hedge,sentence
少し,**Wikipediaは辞書でもデータベースでもなく百科事典なのですから、リスト部よりはもう少し本文を充実させるべきです（[[WP:NOT]]）。
非常に,ウィキペディア日本語版の運営にも深く関与する理事会の[[:m:Wikimedia Foundation elections/2021/Candidates/ja|候補者]]の選出に際し、投票資格をお持ちの数少ないユーザーの一人であるCorwinさんのご意見を反映することは非常に重要だと考えています。
多少,:::: 埋め込みリンク状態になっていたため、[[WP:WEBREF]]により多少修正しました。
ちょっと,また[[世界少女名作全集]]については、こちらもCorwinさんによって講談社より1964年から1967年にかけて刊行された叢書の記事になっていますが、同名の叢書は偕成社や岩崎書店のほうが先行していますので、ちょっとどうかなと思っています。
大変,お力添えいただけますと大変うれしく思います。
大変,:::ご指摘いただき、大変助かりました。
やや,「漫画は低俗だから漫画家は載せない」「宗教にかかわるとややこしいことになるので宗教家は載せない」「フェミニストはウザイしキモイので載せない」というのもありですか。
あまり,実を言うとAVにはあまり興味がないんで。
あまり,:「AVにあまり興味がないんで」というのであれば、悪戯するのはやめなさい。
ちょっと,周りが政治家やら漫画家やら歴史上の人物やらの中にちょっとAV女優の項目があるからって誤解する人は少ないというか一人も居ないと思いますが。
非常に,しかし今回削除に当たり、ノート等で具体的な削除根拠を提示せずに、ただ悪戯だからと断定してこれほど大幅な削除を行った事については非常に問題があるのではないでしょうか？
あまり,あーうーさんが今回記事を追加した行為については、あまりwiki的には好ましくない事であったとは思いますが、wikipediaの精神への敵対行為にあたるとまでは思えません。
非常に,故に、盗作等の扱いを受けるのは非常に不愉快です。
かなり,ご気分を害されないとよろしいのですが、今回はかなりたくさんの方にこのお知らせを差し上げています。
少し,長期化している削除依頼案件について少しづつ再訪、再考しているのですが、ドレッド・ノートについて、Tskさんが[[Wikipedia:削除依頼]]の方で、保留を表明され、詳細はノートに記した、とコメントされているのですが、ノートには何も記されていないことに気がつきました。
十分,:いえいえ、こちらこそ管理者によるソックパペットの対応が不十分でご不満をお持ちのこと、お察しいたします。
多少,先日Micheyさんに修正していただきました（ついでに[[n:MediaWiki:Protectedpagetext]]で一部拝借しました）が、現在の状況だと改行タグがあるんで新機能を使った白紙化保護（未作成状態のページにも直接保護処理を行える）を表示したときこれの下に文章が表示されるんで不要な空白が出来て見栄えが多少悪くなるようです。
大変,::何度も何度もで大変に申し訳ないのですが、今度は別件です。
ちょっと,ちょっとお邪魔します。
相当,明らかな削除相当の項目に関する案件の場で真逆を行くこと自体は責められるべきことではありませんが、数が多すぎるのは明らかに異様なことだと考えます（同様のユーザ例：[[利用者‐会話:オッタンタチンクエ]]）。
非常に,[[Wikipedia:削除依頼]]へのリダイレクトページとした方が非常に便利だと思うのですが。
少し,自分が動ければもう少しましだったのにと悔やまれます。
多少,:ロムルス自体加筆の予定がぜんぜん立っていませんが、やれるレベルで多少はましにしたいなと思います。
やや,[[Wikipedia‐ノート:管理者の解任#投票資格についておしえてください]]についてですが、投票資格について、記事名前空間に限定するかしないか、という部分がややあいまいなままになっています。
ずいぶん,::なんだかずいぶんと時間がたってからで申しわけないのですが、よくわからないのですが納得していただいたようでなによりです。
少し,早速ですが、標記の件について「どこでそう書いたか思い出せない」ということなので、それは、[[Wikipedia:井戸端/subj/管理者は一斉に解任すべき]]の真ん中より少し上のIP氏の長文の下に「とりあえず…」で始まる5行ぐらいの短文の中で書いています。
ずいぶん,憶測・妄想とずいぶんなおっしゃりようであること以外に上記の趣旨説明に関するリアクションはありませんでしたので、私としてはこれ以上何を語ればよいのかわかりかねています。
かなり,:というか同じテンプレを3つ続けて置いていくというのはどうにかなりませんか。
かなり,[[:画像:候補者FAQの履歴不継承問題.svg]]の図解にあるように、かなり広範な問題で、履歴問題が解決できないとしたら多量の（管理者やCUなどの立候補ページの）削除もありうる案件かなと思います。
若干,Tanuki Zさんも定型質問を若干編集しているのですが、その履歴がきちんと継承されていません。
かなり,つぶさに辿ろうとするとかなり複雑な件なのですが、どうぞよろしくご検討をお願い致します。
大変,sourceid=navclient&hl=ja&q=%91%E5%95%CF%90%5C%82%B5%96%F3%82%A0%82%E8%82%DC%82%B9%82%F1%82%AA 大変申し訳ありませんが]、[http://creativecommons.org/images/public/somerights.gif クリエイティブ・コモンズの画像]を削除して下さるようお願い[http://jiten.www.infoseek.co.jp/Kokugo?
やや,なお、ウィキペディアの著作権まわりはいろいろややこしい事情もあり、それをよくご存じない方が法的に問題がありそうな投稿をしてしまう、ということは前にもありました。
大変,大変申し訳ありませんが、[http://ja.wikipedia.org/w/wiki.phtml?
少し,神奈川大学2年経済学部経済学科さんが既にウィキペディアでそれなりの期間活動されて、多くの方から信用を得ているという状況であればあるいは話も違ってくるのではないかと思いますし、もう少し慎重に行動されるのも一案かと思いますがどうでしょうか？
それなり,神奈川大学2年経済学部経済学科さんが既にウィキペディアでそれなりの期間活動されて、多くの方から信用を得ているという状況であればあるいは話も違ってくるのではないかと思いますし、もう少し慎重に行動されるのも一案かと思いますがどうでしょうか？
かなり,かなりまずいと私は感じています。
少し,ここはもう少し議論してから対処を決めるのがよい点だろうと思いますが。
かなり,これをそのサイト名とするだけでもかなり短くなるように思います。
ちょっと,それから、以前、[[Wikipedia:サンドボックス]]にも、社会政策論の講義ノートが投稿されたことがあったようなのですが、ちょっと見て頂けますでしょうか？
大変,#大変申し訳ありませんが、[[同心円地帯モデル]]を削除して下さるようお願い致します。
大変,#大変申し訳ありませんが、[http://ja.wikipedia.org/w/wiki.phtml?
やや,著作権法関連はいろいろややこしいところがあると思いますが、どうぞお気を付け下さい。
ちょっと,ちょっと曖昧な質問になってしまったかもしれません。
結構,とにかく、ブロック依頼を行なったあきれすさんや私のように、神奈川大さんの投稿を問題視している者が納得できるような回答だったら、どのような内容でも結構ですよ。
多少,2chさんは多少煽るように書かれているのでBeeさんも反発されたのだと思いますが、天皇・皇族に限らず''全ての事物は「記述対象」もしくは「参照対象」として感情・感想を排して書かれる''ことが、むしろ事典で取り上げられる上での礼儀ではないでしょうか。
ちょっと,:ちょっと探してみました。
ちょっと,:ちょっと一言だけ。
ある程度,幡ヶ谷駅003.jpgですが、人の顔がある程度分かるように写っています。
相当,議論にすれ違いは避けられませんが、今回の一連のやり取りでは相当な脱力感に襲われました。
結構,もちろん、すぐさま削除頂いて結構です。
いささか,m:日本語版ウィクショナリーの整備の議論は4月8日を最後にとまっていましたので、僭越ながらいささかのまとめを行いました。
ちょっと,ちょっとまっててください。
大変,大変申し訳ないのですが、[[利用者:M-Falcon/記録 2006年11月25日]]について、緊急削除を行わせて頂きました。
ちょっと,すこし頭がぼーっとしてました、ちょっと興奮してたんですね、すみません。
いささか,ご迷惑かも知れませんが、いささか愚痴の類を述べたくなります。
非常に,「ギリシア神話」のカタカナ名の書き方では、今日、新しくみっちさんなどが「参考書籍」を多数加えて、どういう表記になっているか、調べた結果を書いてくださったので、「標準転写」が一般に行われているということが非常に明白になりました（というか、[[ギリシア神話]]には「参考文献」が付いていますが、あれらの本を調べると、標準転写になっていることが分かるはずなのですし、それを前提にしての話だったのでした）。
少し,::もう一つ、少し違う話なのですが、テンプレート等は、わたしは少し分からない（大いに分からない）ので困っていることで、古代ギリシア語の綴りを正しく表記するのに、英語版、ドイツ語版などでは、次のようなテンプレートがあります：[[:de:Vorlage:Polytonisch]]、[[:fr:Modèle:Grec ancien]]、[[:en:Template:Polytonic]]。
結構,　色々と書きましたが、読み流して戴いて結構です。
大変,"(今回のギリシア神話での名称みたいに)大変ですが...
"
少し,提案をもう少し考えた上で、「性の社会学」「性の文化」は、「性風俗」関連カテゴリ構造も含めて、全体を作り直そうと思います。
ちょっと,:::ちょっと表現が変でしたが気にしないでください。
少し,少し小さなものにしました。
やたら,はっきり申し上げて第三者の目には、'''「むやみやたらと新設記事を書き散らかしている方」'''という風に見受けられます。
多少,まして現状は、公式サイトを多少参照するだけで問題なく加筆可能である事が明白です。
大変,stubテンプレもなしに放置されるのでは大変無責任な行動と判断せざるを得ません。
大変,通説が過不足なくまとめられており、私も読んで大変勉強になりました。
とても,お気持ちはとても良く分かります。
大変,このたびは「[[武川鎮軍閥]]」での編集でお手を煩わせてしまい、大変申し訳ありませんでした。
やや,ヴェーラー、シャルル、ボイル等、人名の記事名にやや問題があるようです。
かなり,例えば、シャルルの法則のシャルルは、フルネームとして「シャルル」と名乗る、もしくは日本で一般に「シャルル」と言えば、かなり多くの日本人がこの人だけを連想する、という場合以外には、向かないなと思います。
ちょっと,それから、シャルルをリダイレクトというのもちょっと抵抗がありますが・・・。
少し,大野さんが作成されている飛騨市の寺院の複数の新規ページですが、もう少し丁寧に1ページずつ記載された方がよろしいかと思います。
非常に,ウィキペディア日本語版の運営にも深く関与する理事会の[[:m:Wikimedia Foundation elections/2021/Candidates/ja|候補者]]の選出に際し、投票資格をお持ちの数少ないユーザーの一人である大野 一将さんのご意見を反映することは非常に重要だと考えています。
大変,:大変勉強になりました。
若干,久しぶりに覗いてびっくりの大胆なお手前に若干ひるみましたものの、私にいたしましては別段差し支えございませんのでどうぞ。
かなり,[[Wikipedia:利用者ページの削除依頼#利用者:Mulukhiyya/会話録/20031215 revert合戦|利用者ページの削除依頼]]によると、「かなり喧しくなってしまった会話ページを退避する先のつもり」のようですが、どういう意味なのかさっぱりわかりません。
ちょっと,（こんな事書かなくても相手のページを見れば分かりますけど）あなたと書き込みした方の事情がよく分からないので、ちょっと読んだだけではよく分からないところがありましたが、失礼な方のようですね。
少し,日本語版の規模からしてもう少し人がいてもよいと思いますので。
あまり,まあ、TimeLineにはひらがな、カタカナはかろうじて使えるものの、まだ漢字が使えないので、これまであまりjawpで使われていないと思うのですが、できないというのも不便ですので（漢字を使わないグラフなら書けるのですから）、なんとか復旧して欲しいと思っているのですが、なかなか目にとめてもらえないみたいです。
少し,あれから少し試したところ、ko版、th版あたりでも<nowiki><timeline></nowiki>が無効になっているようでしたので、これらの共通基盤のどこかに問題の根があるような気がします。
ちょっと,--／念のため補足しますと、対応に苦慮する管理者の状況と対比して、「開発陣のやりかたはちょっと不親切じゃないかなあ」とほのめかすのが本来の含みです（なんちゃって）。
ちょっと,歯切れが悪いのですが、私が一応そうだろうと「みなして」いる程度の（技術的な）ことを[[MediaWiki‐ノート:Antispoof-mixedscripts]]にほんのちょっと書いてみました。
少し,皆さんより少し年上で、その点を悪用して（古い資料を使って）好きなことを書いています。
十分,Manju さんは、十分な活動歴がありますし、ウィキペディアについての理解も十分かと愚考いたします。
ちょっと,結局いまだに回答は頂いていないのですが、2回メール送ってもメールを頂けないことを考えると本当に許可を頂いたのかちょっと怪しいと思いますので特定の版の削除をするのがいいと私も思います。
ちょっと,8月末にちょっとパソコンが壊れまして、しばらくネットにつなぐことができませんでした。
とても,こういうことをされると、とても困ります。
とても,鉄道プロジェクトのとてもよい例に[[JR西日本207系電車]]を出してあげますよ。
少し,少しは自覚して記事を作って下さい。
十分,こういう失敗は初心者にはよくある話でして、あなたに悪意があったとは決して思いませんが、これを機会に十分注意をしていただければと思います。
あまり,title=%E3%82%B7%E3%83%BC%E3%83%88%E3%83%94%E3%83%83%E3%83%81&oldid=302047 シートピッチ（初版）]という記事を読み、あまりの無学ぶりにあきれかえっております。
あまり,私はウィキブレーク中のため、あまり執筆作業をできておりませんが、もし何かありましたらプロジェクトのノートなどでご指摘ください。
少し,上記でも少し触れられておりますが、現在[[:category:世界遺産 ○行]]については当面登録を停止しております。
やや,あたらしいセクションが入ったために、目次が表示されていますが、本文の後に目次が入るなどややレイアウト構成に難が出てきているように思います。
やや,私見では本文の可読性がやや落ちているようにも思います。
ある程度,さて、英語版からの翻訳であるとコメントアウトされていますが、[[Wikipedia:翻訳FAQ]]にはGFDLの要件を満たすために、要約欄にある程度の履歴情報を記入することが推奨されております。
結構,'''抵抗を感じられる場合は無視して頂いて結構です。
結構,"なお、このウィキメールは多数の利用者様へ送信していますので、返信は結構です（＾人＾） --[[利用者:Σ64|Sigma64]] 2012年1月5日 (木) 08:28 (UTC)
"
大変,大変お手数ですが、FIFA主催大会等の既存の各年版記事 (2009-2010年あたりはもっとも信頼性が高いと思われます) を参考にして、訂正をして頂けましたら幸甚です。
すごく,== すごく昔の話で恐縮なのですが、東海ステークスのことで手がかりを探しています。
すごく,実は、すごく古い話なので恐縮ですが、Ultratomioさんのお助けを求めてやってまいりました。
非常に,ウィキペディア日本語版の運営にも深く関与する理事会の[[:m:Wikimedia Foundation elections/2021/Candidates/ja|候補者]]の選出に際し、投票資格をお持ちの数少ないユーザーの一人であるUltratomioさんのご意見を反映することは非常に重要だと考えています。
大変,履歴が増えると、全体の変化を追うのが大変になりますので、ぜひご協力ください。
少し,もう少し詳しく。
少し,もう少し勉強なさってわ。
ある程度,ある程度記事がどんな内容になるかを考えた上で記事を立ててはどうでしょう？
ちょっと, ちょっと書き散らかしてらっしゃるようなので。
結構,場合によってはレスを削除してくださって結構です。
とても,やってきたことを誰かが認めてくれるというのはとてもうれしいですね。
非常に,[[利用者:霧木諒二|霧木諒二]]さんは日ごろから定期的に「新着記事」を更新してくださり非常に有難く思っています。
少し,少し加筆
ある程度,既にノートの使い方や編集の仕方などはご存知のようですし、あるいはこれらの点についても既にご存知の上で、あえて考慮していないのかも知れませんが、こうした基本方針について見解が食い違っていて、各人がよかれと思って編集、投稿をすると、かえって時間や資源の無駄になることもありますし、ある程度意見を調整して活動できたらよいのではないかと思います。
やたら,また、やたらと更新かけるのも感心できません。
ちょっと,記事を見つけたときはちょっとうれしくて手を入れました。
やや,:ややっ、読まれていたとは……お恥ずかしい。
とても,だらだら書きの文章が、おかげさまでとても読みやすくなり、感謝しています。
すごく,すごく遅いご案内で申し訳ありませんが、（もしかしたら既にご存知かも知れませんが）一応お耳に入れておきます。
あまり,"[[ベルトルト・ブレヒト]]の件ですが、 「『元の版を活かそうとしてゴチャゴチャになってしまっています』→いえ、元の版にあまり拘泥なさらず大胆にじっくりと加筆修正下さいませ」
"
非常に,非常に期待しておりますのでよろしく！
とても,また、項目立てしたばかりの[[延年]]にすぐ加筆して頂けたことも、とても嬉しかったです。
少し,少しでもお手伝いできればと、「[[伎楽]]」の赤リンクをうめさせていただきました。
とても,::こちらこそ[[プロセニアム・アーチ]]を記事化してくださって、とても嬉しく思っています。
あまり,:さらに言えば自分はアニメそのものにはあまり詳しくないので、『アニメの歴史』という、アニメ史全体を俯瞰する項目に加筆するよりも、『白蛇伝』という一作品にだけ注目して書く方が、私自身は書きやすい気もします。
いささか,ja の層の厚さを知らしめたというのはいささか大仰に過ぎるでしょうか:) 難しいところを担当していただき、MHさんには大変感謝しております。
大変,ja の層の厚さを知らしめたというのはいささか大仰に過ぎるでしょうか:) 難しいところを担当していただき、MHさんには大変感謝しております。
ちょっと,が、今ちょっとかなりすごく、仕事が追い詰まった状態にあるので、今後の話題についていくための、ログ採取を目的とした参加になってしまうかもしれません。
すごく,が、今ちょっとかなりすごく、仕事が追い詰まった状態にあるので、今後の話題についていくための、ログ採取を目的とした参加になってしまうかもしれません。
かなり,が、今ちょっとかなりすごく、仕事が追い詰まった状態にあるので、今後の話題についていくための、ログ採取を目的とした参加になってしまうかもしれません。
あまり,:現在超々多忙中ゆえ、あまり編集・メンテナンスに参加できていない状態です。
大変,多くのリンクを変更するのも大変なので、「スイスの州」に統合或はその様な事をすれば良いのではないかと考えます。
少し,《大滿洲國國歌》が国歌として演奏されたかどうかについて、結論はもう少し（といっても、かなり長い期間かもしれませんが）お待ちいただければと思います。
かなり,《大滿洲國國歌》が国歌として演奏されたかどうかについて、結論はもう少し（といっても、かなり長い期間かもしれませんが）お待ちいただければと思います。
あまり,「幻の国歌」とするにはあまりにも惜しいものですから。
相当,相当あやしいと思いますので、日本語のウェブへの拡散がこれ以上進まないよう、修正する方向で考えます。
大変,質問ばかりして大変恐縮ですがよろしくお願いいたします。
大変,いつも管理業務大変ご苦労様です。
大変,:: 大変迅速なご対応に感謝申し上げます。
ちょっと,ただ、その直前の版(IPによるもの)が荒らしですので、ちょっと差し戻し等の調整をお願いします。
少し,先ほどからあなたとロリさんとのやり取りを拝見していましたが、あなたは少し｢やりすぎ｣と思われます。
ある程度,幼稚な記事に憤る気持ちもある程度理解できますが、それに対しての幼稚な反撃もまた迷惑です。
あまり,ただあまりにひどく感じましたので、あえて書かせていただきました。
非常に,分子生物学関連は専門用語が非常に多いので、そちらを中心にいろいろ書いてみようと思います。
少し,一応移動機能のことは知ってはいたのですけれども、[[利用者:HarpyHumming|HarpyHumming]]さんはかなり細かなニュアンスのことを気にしておられたようでしたので、まあ、[[新エネルギー]]のもとでは書きにくいかも知れないなし、かといってリダイレクトにするかどうかで[[利用者:しるふぃ|しるふぃ]]さんと個人のページで少しもめていたのも考えると、いきなり移動や改名を提案するのもどうかと考えた次第で。
かなり,一応移動機能のことは知ってはいたのですけれども、[[利用者:HarpyHumming|HarpyHumming]]さんはかなり細かなニュアンスのことを気にしておられたようでしたので、まあ、[[新エネルギー]]のもとでは書きにくいかも知れないなし、かといってリダイレクトにするかどうかで[[利用者:しるふぃ|しるふぃ]]さんと個人のページで少しもめていたのも考えると、いきなり移動や改名を提案するのもどうかと考えた次第で。
あまり,書き出しの所属路線をわざわざ消してまわっているようですが、あまり必要のない作業です。
あまり,ただ、路線数があまりにも多い場合には、鉄道事業者名のみのほうがスッキリすると思います。
ちょっと,言葉の使い方の問題なので、どうでも良いと言えばどうでも良いのですが、ちょっと気になったので。
少し,記事を分離するなどもう少し考えてから移動してください。
それなり,いきなりで申し訳ありませんが、[[メインページ]]の編集はそれなりに重要なことなので、一旦[[ノート:メインページ]]で提案をして、承認を得てから変更したほうが良いと思います。
ある程度,"私もスタイルとか編集の仕方とかある程度見ていたんですけど、そうだったんですか・・・いやはや、おっぱずかしい（´∀｀；）<br/>
"
大変,:暇なので作ってみたら、あら大変、3時間無駄シマした（汁汁。
ちょっと,ちょっと難しいかもしれませんが。
あまり,けど、素人だとあまり綺麗にとれないものですね。
とても,:いやぁ、自分もいつか手を付けようと思ったんですが、何かと気がすすまなかったのでとてもありがたいです。
かなり,まぁ、そこらへんはかなり曖昧ですし、実際大項目主義をとっている辞書はい一緒に書かれる場合がほとんどですけど。
ちょっと,Templeteについてですが、ちょっと使い方が違うなーと思ったのでお知らせにきました。
非常に,これらのコメントはいずれも私<u>個人</u>についてを評した不必要なものであり、しかも貴兄の個人的な考えがあたかも事実のように述べられており、誤解を招いて不本意であるばかりか、非常に迷惑です。
若干,問題の禅昌寺の記事は殆どが友人からの資料を若干加筆したものです。
結構,まっとうな議論が成立し、行き過ぎた書き込みを控えると約束してくれるなら、それは結構なことと言えるでしょう。
十分,ただ複数記事からの翻訳の場合の記載方法がいまいち十分に理解しているとは言えないため、Kinori氏により再投稿することは可能でしょうか？
あまり,"あまり気にしなくてもいいと思います[[利用者:Yonoemon|Yonoemon]] 2007年10月21日 (日) 12:18 (UTC)
"
大変,即時削除を自分で依頼しようとしていたところなので、大変助かりました。
やや,ウィキペディアのルールは非常にややこしいことになっているので、初めのうち戸惑うことが多いかと思います。
非常に,ウィキペディアのルールは非常にややこしいことになっているので、初めのうち戸惑うことが多いかと思います。
ちょっと,既に特定版削除が決定した後ですが、ちょっと一言。
相当,''「いい加減な三流雑誌の記事は、法律が要求する『真実と信じるに足る相当な理由』にはなりません。
ちょっと,GcGさんが考えている議論のためには、どこが良いのかちょっと確信が持てません。
大変,急に、かつ、大変失礼な話で恐縮なのですが、仙台市電の駅についてKinoriさんがご存知の範囲でよいので加筆していただけないでしょうか。
少し,整備の途中でお困りとは思いますが、一年後に投稿できればいいくらいの気持ちで、調べながら少しずつ書き溜めていくのがいいのではないかと思います。
結構,些細なことでも結構なので、ご助力いただければ、と思っております。
とっても,それ以外の方法をとっても、たぶんうまくいかないと思います。
すごく,分かりやすそうな言葉で書こうとすると、どこか不正確な内容になって来るし、バランスの取り方がすごく難しいですね。
やや,確かに、CrenarchaeotaやEuryarchaeotaに界をつけるのはやや古い考え方と思われます。
多少,編集の仕方は多少問題があるかもしれませんが、最初は皆やってしまうことでしょう。
十分,ただでさえ不十分な哺乳類関連の記事を一気に整備できるかもしれない。
大変,Electric goatさんがプロジェクトページを改訂していただいたこと、大変助かります。
非常に,議論の下地として非常に分かりやすくなりました。
いささか,いささか遅くなりましたが、お礼として[[Wikipedia:月間感謝賞]]で投票させていただきました。
とっても,残念ながら曇天でしたので、後日また快晴のときがあれば撮影しなおしたいところですが、なんとか見せられる画質に補正しましたので、記事を執筆して頂けるととっても嬉しいです。
とても,"（あと、写真を撮らなかったのにこれをお願いするのは気が引けるのですが、もし日本丸マリタイムミュージアムに掲げてある通信旗に何かの意味があれば解説して頂けたら横浜市民的にとても嬉しいです）--[[利用者:Gleam|Gleam]] 2004年6月27日 (日) 07:04 (UTC)
"
ちょっと,もう動かない船が帆船のところに貼られてるのはちょっと不思議な気もしますが（日本丸のチケット売り場に貼ってあるポスターは格好良く海を駈ける様子の写真でした）、これからの記事の充実を影ながら応援しております。
かなり,ちなみに写真が黄色がかってしまうのは多分デジカメのホワイトバランス設定をうまいこと騙すとかなり改善する気がします。
ちょっと,「[[ネコ目]]」のページで、スカンクの位置づけを改変されたようですが、ちょっとどうかな、と思いました。
ちょっと,絨毯はひょんなことからみつけて、どんな表記をしてもないということを確認してちょっと腰がくだけました。
少し,せっかくKasugaさん、kahusiさんに立ち上げていただいたのにこれでは少し寂しいので、Azuさんを審査員に推薦したいのですがよろしいでしょうか？
結構,'''抵抗を感じられる場合は無視して頂いて結構です。
結構,なお、このウィキメールは多数の利用者様へ送信していますので、返信は結構です（＾人＾） --[[利用者:Σ64|Sigma64]] 2012年1月3日 (火) 23:24 (UTC)
多少,"また多少詳しく調べさせていただきましたが、貴殿が2004年にWikipediaの管理者を辞任した際にも、他ユーザーを突然ブロックした管理者権限の濫用行為が問題になったのではないのですか　当時の経緯を繰り返さないよう、慎重にご考慮ください　[[利用者:三島堂|三島堂]]（[[利用者‐会話:三島堂|会話]]） 2017年10月24日 (火) 00:57 (UTC)
"
あまり,英語版で流行っていないのはアメリカやイギリスで身近な単位としてSI単位系があまり知られていないのが主な理由とは考えられます。
非常に,メートル法が非常に浸透している日本では市町村、鉄道、橋、トンネル、空港、など人工物、湖、木、河川、三角州、などと連携すればきりがないほど楽しいものになると想像しているのですが。
かなり,表についてですが、これはかなり完成度が高いので、項目を追加すると蛇足になる恐れがあります。
非常に,その本は、様々な物（動物とか惑星とか色々なもの）の図がスケールを合わせて書いてあり、非常にわくわくした思い出があります。
少し,さすがに図を入れるのは厳しいですが、少しでも面白い比較の表ができるよう微力ながら協力させていただきます。
大変, それとも、項目が一部に集中してしまうなど大変な割に面白くなさそうでしょうか?
非常に,<br>'''数自体を項目の先頭に''':わかりやすくて非常に良いと思います。
少し,あと、無限大についても少し。
すごく,Azuさんの長さの「ものさし」の項目はすごく面白いと思いました。
非常に,数の一覧との統合は非常に良いと思いました。
ちょっと,"あちこちから数量の比較のページへのリンクをしていてちょっとアイディアがあるので今からそれを造ります[[利用者:Suisui|Suisui]] 13:13 2004年1月22日 (UTC)
"
ちょっと,移動するのであればちょっと変更すべき記事の量が多いのでスクリプトでも組んでまとめてやった方が楽かもしれませんね。
すごく,久々に書こうと思ったのですがものすごく重いですね・・・この時間はこんな感じなのでしょうか？
少し,上のたたき台は記事に移行したので少しでも軽くするために削除してみました。
非常に,非常に有用な画像なのでウィキブックスなどでも使えると思いお願いにあがりました。
少し,少し確認したいのですが、Japanische Spracheとはなんでしょう？
ちょっと,バナーとしてはちょっとファイルサイズが大きすぎると思います。
少し,ファッション関係を少し書きたいと思っているのですが、現在活躍しているデザイナーが少なくともこれだけいます。
あまり,:今まで、日本語版にはファッションのことを書く方があまりいらっしゃらなかったので、本当に助かっています。
とても,デザイナーの経歴・思想・デザイン傾向の推移・同世代のデザイナーとの比較などを書き込んだ記事が増えていくならば、それはとても喜ばしいことです。
ちょっと,アントワープはちょっと詳しいんで書いてみましたけど、ほかはそんなに書く知識がないので趣味で調べながらちょこちょこ書いていきたいと思ってます。
ちょっと,自分も鬼のほうに詳しい方じゃないし、服飾関係でも無いのできちんと書けないですが、あくまでも趣味として（ちょっとはまりつつあり本業がおろそかになりそうなので……）貢献したいと思います。
十分,:鉄道関係の記事が鉄道関係であるのは読めば分かることですし、もし分からないとすればそれは記事が不十分と言うことでしょう。
十分,この会話ページや、削除依頼対象になっている[[画像‐ノート:Tetu logo.gif|ロゴ 1 のノート]]、[[画像‐ノート:Tetu logo2.png|ロゴ 2 のノート]]にはロゴを貼り付けることへの反対意見が数多く書き込まれており、これらの意見に対し十分な回答をせずにロゴを張り続けることは Wikipedia への攻撃とみなされます。
結構,"なお、このウィキメールは多数の利用者様へ送信していますので、返信は結構です（＾人＾） --[[利用者:Σ64|Sigma64]] 2012年1月4日 (水) 09:11 (UTC)
"
ちょっと,仕方ないとはいえ、タイミングと表記の文字にちょっと混乱しました。
大変,Reverted edit of 221.27.12.180 、changed back to last version by Tekune　と reversion されていたのを拝見しましたが、これを毎回手で書くのは大変ではありませんか？
あまり,こちらこそ最近はあまりあいさつ同行会員らしいことが出来ず申し訳ないです。
非常に,ウィキペディアでは、著作権の問題というのは非常に重要です。
それなり,　メンテナンス要員がそれなりに必要そうですが、見通しはよくなりますよね。
結構,TYさんへ、強化記事候補の[[イヌ]]は結構票が集まってウィキをゲットできるかもと皮算用をしてみたりしています。
あまり,最近、息切れ気味なのであまり期待しないでください。
ずいぶん,Wikipediaを離れてずいぶん経つのですが、今日まったく偶然にのぞいてみたところ、ライセンスについての注意書きに奇跡的に気づきました。
結構,　リンクは結構滅茶苦茶だったりします。
結構,　ハンドルに肖ってのお願いですが、お厭であれば結構です。
非常に,ウィキペディアにとって、著作権の問題というのは非常に重要です。
ちょっと,Eguriさんにちょっとお尋ねしたいことがあったのですが、最近はお見えになられていらっしゃらないでしょうか？
あまり,このたびは水洗してくれたことはとてもありがたい行為だと思っておりますが、私自身管理人はあまり増やすべきではない的な考えを現在持っておりますし、まだ管理者になれるほどの信頼を得ていないのが現状ですし、管理者としての責任も負えそうにありません。
とても,このたびは水洗してくれたことはとてもありがたい行為だと思っておりますが、私自身管理人はあまり増やすべきではない的な考えを現在持っておりますし、まだ管理者になれるほどの信頼を得ていないのが現状ですし、管理者としての責任も負えそうにありません。
大変,それこそ大変です。
少し,お茶でも、と言いたいところですが、少しは気持ちが晴れました？
あまり,大きな中立的な観点で高みから望めば、あまり制限というのは好きくないです。
結構,自分の文章に執着は無いので好きにしてもらって結構ですが、“ネコでもわかるGFDL”なんてページがあると嬉しいです。
少し,今後、気が向いた時になるでしょうが、少しずつ充実させていきたいと思います。
少し,いろいろ投稿されている様ですが、もう少し投稿対象について調べてから投稿されることをお勧めします。
それなり,Google等で１分も調べたら、投稿対象についてそれなりの知識を得ることができると思います。
あまり,ところであまりひどい行為ばかり続けると犯罪が成立します。
ちょっと,219.122.228.150さんがおっしゃってるのはそれとはちょっと違う話だと思います。
非常に,ウィキペディアにとって、著作権の問題というのは非常に重要です。
ある程度,「ファッション」という略称がある程度広く用いられてるのでしたら、「ファッションヘルス」の記事中に記載するのが良いと思います。
大変,大変ありがとうございます。
若干,私も2600系の写真があり、また撮影時期が夕方なので若干文字が見やすくなっています。
結構,あと、ほぼオフトピで個人的に尋ねたかったことなんですが利用者ページの上部デザインが私のところと結構似ているのは偶然ですか？
多少,"不快感はないしこういうの嫌いじゃないんだけど（むしろ面白いと思う）気になるものはやはり多少気になるので・・・（汗-->--[[利用者:Marine-Blue|Marine-Blue]] <small>[ 旧:IRUMA [[利用者‐会話:Marine-Blue|会話]] [[特別:Contributions/Marine-Blue|履歴]] ]</small> 2007年7月25日 (水) 01:13 (UTC)
"
