hedge,sentence,gemini_label,softness_harshness,formality,degree,softens_harshness
a little, Looking to try something a little different?,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 5}",7.0,4.0,5.0,7.0
relatively," Redirects are relatively easy to review, can be found easily through the [[Special:NewPagesFeed|New Pages Feed]].","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 7, ""degree"": 4}",6.0,7.0,4.0,6.0
really," With over 10,000 pages in the queue, the highest it's been since [[WP:ACPERM|ACPERM]], your help could really make a difference.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 4}",5.0,4.0,4.0,5.0
quite," I added a substantial amount of new material to the article for Lawrence Kasdan in February 2020 (all of it meticulously sourced), and Revan646 has now three times deleted all of it to revert back to the old (and quite thin) version of the article.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 7, ""degree"": 4}",4.0,7.0,4.0,4.0
very, A very small number of users had been doing the vast majority of the reviews.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
fairly, A fairly experienced reviewer can usually do a review in a few minutes.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
very," If every active reviewer would patrol just one article per day, the backlog would very quickly disappear.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very,"If you are no longer very active on Wikipedia or you no longer wish to be part of the New Page Reviewer user group, please consider asking any admin to remove you from the list.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 4}",7.0,5.0,4.0,7.0
somewhat," Proposals that would somewhat ease the burden on NPP aren't gaining much traction, although there are suggestions that the role of NPP be fundamentally changed to focus only on major CSD-type issues.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 5}",6.0,6.0,5.0,6.0
very,"*If you are no longer very active on Wikipedia or you no longer wish to be part of the New Page Reviewer user group, please consider asking any admin to remove you from the list.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 5}",7.0,5.0,5.0,7.0
quite," The learning curve for NPP is quite steep, but a detailed and easy-to-read [[WP:NPP|tutorial]] exists, and the Curation Tool's many features are fully described and illustrated on the updated page [[Wikipedia:Page Curation/Help|'''here''']].","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 4}",6.0,6.0,4.0,6.0
very,"*If you are no longer very active on Wikipedia or you no longer wish to be a reviewer, please ask any admin to remove you from the group.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 5}",7.0,5.0,5.0,7.0
really,":Wishing you the very best, Steven; I'm too new to have really know you, but it's always sad to lose an excellent contributor.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 4}",7.0,4.0,4.0,7.0
very,":Wishing you the very best, Steven; I'm too new to have really know you, but it's always sad to lose an excellent contributor.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 1}",6.0,6.0,1.0,6.0
really,":::{{non-administrator comment}} I really don't think that swapping words out of the AI's text for their synonyms was a good idea, [https://en.wikipedia.org/w/index.php?title=User_talk:S1r_Gawa1n_2004&diff=prev&oldid=1349143773&diffonly=1] your current appeal is really difficult to read and understand as a result.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 4}",4.0,4.0,4.0,4.0
very," We aren't supposed to cite blogs except for (a) officially sponsored blogs of newspapers and of institutions like museums, written by their employees; and (b) blog posts by the subject of the article, which we can use in a very limited way as sources for information about their lives and opinions.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
really, Seeing this wasn't really going anywhere i gave up since talking to him won't have any results.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 2}",7.0,4.0,2.0,7.0
very,:And be ''very careful'' not to make anything that could be construed as a legal threat.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very," Your comment about you {{tq|""deal[ing] with [our] owners""}} came very close already.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very, I am very punctual and like to do my all works throughout the day at right time.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very," I’m very familiar with Wikipedia, and I don’t believe you have the authority to define what is or isn’t disruptive.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
pretty, Not following the rules is pretty much the definition of being disruptive.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
really,"Thanks, this is my first article among many to come hopefully, and your comment really helps ","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
very,"  I am not sure if you have been watching this talk topic for very long, but if you have, then you probably already know exactly who and what I'm talking about.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
really,":::::It really doesn't, it just spreads it around to anyone who seems to not be on your side in the argument.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 2}",4.0,4.0,2.0,4.0
a bit," The flow of responses had already dried up a bit before I moved it, but with other largish discussions starting up it couldn't stay on RSN any longer.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 5}",7.0,4.0,5.0,7.0
a little, I needed a little help from you.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 5, ""degree"": 5}",8.0,5.0,5.0,8.0
really," While I understand that sandboxes can contain errors while in development, there really isn't a reason not to fix this small error as it requires just adding <code>lang=""wikitext""</code>.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 0}",4.0,4.0,0.0,4.0
very, As most editors don't have the error messages on they won't know that they have broken the ref (it's a very common reason for broken links).,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very,:::Thank you very much for that.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
very,":::::ScottishFinnishRadish used {{t|sfn}}, it wasn't very effective.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 5, ""degree"": 5}",8.0,5.0,5.0,8.0
sort of,"Hey, [[User:FortunateSons/sandbox|I tried my hand]] at an [[Wikipedia:Essays|essay]] about (mostly) reliable sources alleged to have some sort of prejudice against persons or groups.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 0}",6.0,4.0,0.0,6.0
mostly,"Hey, [[User:FortunateSons/sandbox|I tried my hand]] at an [[Wikipedia:Essays|essay]] about (mostly) reliable sources alleged to have some sort of prejudice against persons or groups.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
a bit,"<br />One final point about [[WP:Hate is disruptive]], you have the point a bit backwards.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 3, ""degree"": 4}",8.0,3.0,4.0,8.0
very,"::That’s incredibly helpful, thank you very much!","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
sort of,":You could theoretically edit on a PC using the mobile site, if you were some sort of masochist.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 1}",8.0,4.0,1.0,8.0
very,Thank you very much in advance.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 5}",6.0,6.0,5.0,6.0
very,::Thank you very much for your help!,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 5}",6.0,6.0,5.0,6.0
rather,  I believe the evidence supports this is misbehavior but rather than go to ANI I would rather spend my time trying to improve the policy that provides cover for the misbehavior.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 0}",7.0,6.0,0.0,7.0
really, It's really that simple.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 4}",5.0,4.0,4.0,5.0
very," Using language that has a very particular meaning can derail discussions, as they become about whether the term is being correctly used rather than the original subject <br />Per the talk page of the Floppy disk article you can see I'm more interested in having verifiable content than removing contested content, but I can understand both sides.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very, I'm very confused here.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very," Musical sources are an odd bunch, and expertise in the area can be very important.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
very,"::So the claim is very, very vague.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 4, ""degree"": 5}",3.0,4.0,5.0,3.0
quite, The policies around Biographies of Living Persons ([[WP:BLP]]) are quite strict.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 7, ""degree"": 4}",6.0,7.0,4.0,6.0
mostly,"::She is still best overwhelmingly known as Drokova, and mostly due to her pro-Putin activities back in Russia.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 4}",7.0,5.0,4.0,7.0
really,":Also the prior Oiloiloil account was only really used to replace Harvey Milk on a list of LGBTQ people with Mark Millar (who is not, to my knowledge, gay).","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 1}",7.0,3.0,1.0,7.0
slightly," The ""Attention"" note that pops up when editing that Module talk page seemed slightly grim.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 5, ""degree"": 5}",8.0,5.0,5.0,8.0
somewhat," Frankly, I admit I was  somewhat surprised but am so friggin' appreciative that you & {{u|Redrose64}} & [[User talk:Trappist the monk|Trappist the monk]] replied or worked behind the scenes.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 5}",6.0,6.0,5.0,6.0
very," This is the way policy and guidelines are written, you'll very rarely find anything that says something definitive.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
extremely,It is also extremely unlikely that he would see your message.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
quite," I think it is better to use a version showing both the map and the name, and a map of Greater Romania alone looks quite awkward shown as a logo on a Wikipedia party infobox.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 3}",7.0,6.0,3.0,7.0
very," And secondly, most importantly, the logo is non-free, and the version with text will be very compressed, and overall look worse than the just logo without text.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
really," (i really don't want to sacrifice the quality of the logo for the sake of text) [[User:PLATEL|<span style=""font-family:Verdana; background-color: #471211; color: #16C9E5"">&nbsp;'''PLATEL'''&nbsp;</span>]] ([[User talk:PLATEL|talk]]) 21:15, 23 October 2024 (UTC)","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 4}",4.0,4.0,4.0,4.0
very, It's not like the original logo itself is very creative or pretty.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 5}",7.0,5.0,5.0,7.0
really," I don't really know how vectorizing works so I'll trust you on that it is difficult and will let it as is if you wish, but I believe only using the map standing by itself is a misrepresentation.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 3}",7.0,4.0,3.0,7.0
rather," As before, ChatGPT is being rather cryptic in its answers, and I didn't edit anything that made mention of the legend.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 7, ""degree"": 4}",7.0,7.0,4.0,7.0
pretty, I think this largely isn't your fault; I'm pretty sure the article was poorly AI-generated on the kowiki (you can see the chatgpt mentions in urls in the article).,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
largely, I think this largely isn't your fault; I'm pretty sure the article was poorly AI-generated on the kowiki (you can see the chatgpt mentions in urls in the article).,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 7, ""degree"": 5}",4.0,7.0,5.0,4.0
fairly, [[Wikipedia:Neutral point of view|Neutral point of view]]: represent significant views fairly,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 0}",5.0,6.0,0.0,5.0
a bit," Hence why this article grabbed a bit of my attention, because Musk has been on the news over here (Germany) for weeks now for his.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
pretty," My account is pretty new, and I already was also the editor who created [[Wikipedia:Articles for deletion/Elon Musk's arm gesture|this]] pretty popular AfD recently for another Elon article.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
very," In cases of very clear ongoing intentional damage to the encyclopedia, [[WP:AIV]] can be used.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 5}",4.0,4.0,5.0,4.0
very," I am very sorry for this late reply, but I appreciate your spreading of cheer on (user) Talk Pages!","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 6, ""degree"": 5}",8.0,6.0,5.0,8.0
quite,"yeah that was quite fun [[Special:Contributions/2A0E:3700:20E0:1400:6581:8DA:D3AB:F656|2A0E:3700:20E0:1400:6581:8DA:D3AB:F656]] ([[User talk:2A0E:3700:20E0:1400:6581:8DA:D3AB:F656|talk]]) 12:58, 25 January 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 7, ""degree"": 4}",6.0,7.0,4.0,6.0
very, Don't relist the page moves where the consensus is very clear in favor of the requested move.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
really,":Thank you for you're reply, when I to proceeding requests at [[WP:RM/TM]] in future then I really followed you're talk.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 3}",6.0,4.0,3.0,6.0
really,"::::{{re|Abecedare}} Thank you for you're reply, when I to proceeding requests at [[WP:RM/TM]] in future then I really followed you're talk.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
really," You will do it, I really not understand the word '''moratorium''', so, can you requesting another closer's  input.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
quite,:::I'm not quite sure what point you're making.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 6, ""degree"": 4}",8.0,6.0,4.0,8.0
a little," I'm just doing a little devil's advocating, so please don't think I'm not in agreement.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
really," Up to now, if an editor wants to challenge a moratorium, there really isn't much the rest of us can do about it that's backed by p&g.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 1}",6.0,3.0,1.0,6.0
a bit, Now there is a bit of a debate that I've seen as to their authenticity.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 3}",8.0,4.0,3.0,8.0
really,:Thank you so much again - I really appreciate it!,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
a little," I'm currently struggling a little because several of the references don't seem to have ISBN numbers that I can find anywhere, especially as they're more niche texts in Czech rather than English.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
really,::I'm really grateful for any help at all!,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
really, I set it as a joke and i dont really like it anymore.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
very,":{{Ping|Drrubinphilip}} Hello, Thanks for you're question and It's very easy to start the article and If you like to start [[WP:BLP|Biography of living person]]'s biography article,then you need to read [[Help:FIRST]].","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
very," But when we keep all these things in mind and tick  all other boxes successfully, then it is very troublesome when the talk:page does not move.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
really,"::::::::::I don't really know about if the other boxes affect it, like suppressing redirect, watching page, etc.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 3}",8.0,4.0,3.0,8.0
very,I wish for you to create time from your very busy schedule to review the article I created [[Keith Edwards (media personality)]].,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 5}",7.0,6.0,5.0,7.0
really,":{{Ping|GiantSnowman}} Hello there, Thank you for notifying my mistake and I reverted my both move at before target and fix the [[Talk:Alan Browne (footballer)#Requested move 19 August 2025]] as '''no consensus'''  and I really shameful for this mistake, I'd more carefully in future  before closeing ""Request move discussion"".","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 5}",4.0,4.0,5.0,4.0
very,I wish for you to create time from your very busy schedule to review the article I created [[Nimay Ndolo]].,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 5}",7.0,6.0,5.0,7.0
really,":@[[User:CommunityNotesContributor|CNC]] Hey this is not a pain at all, that’s actually a really helpful reminder.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
really," Thanks a ton for running MovePlus and tidying up the dabs that kind of behind-the-scenes work doesn’t always get noticed, but it really keeps things consistent across the project and You’re right, a lot of editors hesitate to close RMs with massive backlink fallout, exactly because of the cleanup load afterward.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 4}",5.0,4.0,4.0,5.0
really, It would be really helpful.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
very, So it's odd that this editor chooses to cite a very obscure music publisher.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very, He's making editing on Wikipedia very unfriendly and acts like he owns it [[WP:OWN]].,"{""is_modifier"": true, ""softens_harshness"": 0, ""formality"": 5, ""degree"": 5}",0.0,5.0,5.0,0.0
pretty,"::Thank you, found this one pretty useful too, adding on ideas in the articles you mentioned: [[Wikipedia:Wikipedia Signpost/2009-04-13/Dispatches]] [[Special:Contributions/91.214.85.182|91.214.85.182]] ([[User talk:91.214.85.182|talk]]) 22:49, 15 January 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 4}",6.0,3.0,4.0,6.0
really,:I don't really deal much with images any more so media questions are better answered at [[:Wikipedia:Media copyright questions]].,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 2}",7.0,4.0,2.0,7.0
really,":It's not unusual for plot descriptions to be present in multiple places online, so it's really not possible for me to say with any certainty where you copied it from.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 2}",6.0,4.0,2.0,6.0
quite, Miller has been taking place quite sporadically for almost five years due to it being a back-burner hobby for me.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 4}",5.0,6.0,4.0,5.0
really," So, I really appreciate all of your help thus far, as well as any future advice you can share.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
rather," Though there are some quotation marks used, the amount is rather excessive, amounting to nearly all of that user's contributions to the article.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 8, ""degree"": 4}",7.0,8.0,4.0,7.0
rather,  Note that excessive quotations is not a violation of the copyright policy but rather a violation of the non-free content guideline.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 8, ""degree"": 0}",6.0,8.0,0.0,6.0
a little," Thanks for the wellness check, we are all a little frozen here due to a final and extreme cold snap (it better be final).","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
reasonably,* Reasonably brief,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 4}",6.0,6.0,4.0,6.0
really, I don't really think the copyright holders are going to bring an action against Wikipedia for this usage but I'm not convinced we would prevail if such an action were taken which leaves me very uneasy.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 2}",7.0,4.0,2.0,7.0
very, I don't really think the copyright holders are going to bring an action against Wikipedia for this usage but I'm not convinced we would prevail if such an action were taken which leaves me very uneasy.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
pretty,:The number and length of quotations in this draft is pretty extreme.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
really," The forum post appears to just be Google Translate, so no translation copyright issue either, and even if there were, ""She did not know any of her grandparents"" is really the only way to translate ""Elle n'a connu aucun de ses grands-parents"".","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 1}",5.0,4.0,1.0,5.0
fairly," But conversational fluency is different than fluency in the idioms of encyclopedia-writing, so [[:fr:Special:Contribs/Tamzin|my frwiki contribs]] are fairly limited.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
a bit,  I invite you to do a bit more research on the threshold of what does and does not constitute a copyright issue.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
really,"  you really should have informed yourself before starting, and repeating the action.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 4, ""degree"": 2}",3.0,4.0,2.0,3.0
a bit,":::::::do a bit of research on Fair Use, as well.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
very," Wikipedia takes copyright violations very seriously, and persistent violators are likely to [[Wikipedia:Blocking policy|lose their editing privileges]].","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
really,:I really did have no idea it was live.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 1}",6.0,4.0,1.0,6.0
really, I really would like to be able to complete this profile within the guidelines.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 4}",5.0,4.0,4.0,5.0
a bit,":{{non-administrator comment}} Hi [[User:Bmaspace|Bmaspace]], I can see that you've had several unblock requests declined and wanted to see if I could help with a bit of advice.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 3}",8.0,4.0,3.0,8.0
pretty,":This is a pretty minor restriction: there's a single article out of 7 million you can't edit, and even then you can edit the talk page, and this is something you can appeal in a few months.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 3}",7.0,3.0,3.0,7.0
really,"It seams to me that user is getting into constant edit wars and selection on what is a source which satisfy his beliefs and what is not, and pushing POV onto really sensitive topics","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 4}",4.0,4.0,4.0,4.0
mostly," To celebrate: mostly flowers pics from vacation ;) --[[User:Gerda Arendt|Gerda Arendt]] ([[User talk:Gerda Arendt|talk]]) 08:42, 21 January 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
a bit," Although it has slowed down quite a bit with the semi in place, and there are multiple admins paying attention.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 5}",6.0,3.0,5.0,6.0
quite a bit," Although it has slowed down quite a bit with the semi in place, and there are multiple admins paying attention.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
quite," Although it has slowed down quite a bit with the semi in place, and there are multiple admins paying attention.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
pretty,"::::It's certainly no more extraordinary than semi'ing the talk, which I did twice and another admin also did (set to expire later today), but it would be a pretty extraordinary admin action.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 4}",6.0,3.0,4.0,6.0
very,":::::See [[Wikipedia:Village pump (policy)#Looking at RfCs in AP areas, I see a lot of very new editors, maybe EC should be requiredLooking at RfCs in AP areas, I see a lot of very new editors, maybe EC should be required]] [[User:Doug Weller|<span style=""color:#070"">Doug Weller</span>]] [[User talk:Doug Weller|talk]] 13:45, 31 January 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
quite," I'm sorry for the delay, I am quite busy IRL right now.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 7, ""degree"": 4}",7.0,7.0,4.0,7.0
partially," WikiProject Film has the following statement (partially pasted here),                                                                                                              ""Our primary work is concentrated in a number of broad areas:","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
very," You have been leading me for a while and I am very happy and grateful for your help, so I would like you to please keep me and continue guiding me at your convenience.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
pretty, Pretty easy to see through the bias of the admins on [[Gulf of Mexico]].,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 4}",6.0,3.0,4.0,6.0
pretty, Pretty ridiculous how a double standard exists and my discussion was shut down by you for showing the double standard.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
really," There's no ""expiration"" date on recentism, really.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 1}",7.0,3.0,1.0,7.0
quite," But enwiki will have to ""unfreeze"" the lead of this article at some point, and if that point is in six months it will by then seem quite odd and out of step with other sources that the ""Gulf of America"" is confined to the article body.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 4}",5.0,6.0,4.0,5.0
really," IMO of course, but I feel Wikipedia is generating *more* backlash and trolling on this by resisting the lead mention in step with proposals for a title change (the latter move really *would* be premature in 5 or even 10 years, but the lead mention will seem like an obvious laguna by late spring, I suspect).","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 1}",4.0,4.0,1.0,4.0
quite," If they'd waited a month or six weeks to revisit, it's quite likely there would have been fewer objections to that.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 4}",5.0,6.0,4.0,5.0
mostly,":::I think if the RfC had been something like ""The Gulf of Mexico (Spanish: Golfo de México; officially designated by the US as Gulf of America) is an oceanic basin and a marginal sea of the Atlantic Ocean, mostly surrounded by the North American continent"" or something, more people might have been able to get behind it.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
a little," A little bit of that kind of off-topic tangent is no big deal, I'm sure I've done it myself many times.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
